country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cyprus,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240
Czech Republic,77300,77300,77300,77300,77300,77300,77300,77300,77300,77300,77300,77300,77300,77300,77300,77300,77300,77300,77300,77300,77300,77300,77300,77300,77300,77300,77300,77300,77300,77300,77300,77300,77300,77300,77300,77300,77300,77300,77300,77300,77300,77300,77300,77300,77300,77300,77300,77300,77300,77200,77200,77200,77200,77200,77200,77200,77200,77200
Denmark,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42000,42000,42000,42000,42000,42000,42000
Djibouti,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200
Dominica,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750
Dominican Republic,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300
Ecuador,277000,277000,277000,277000,277000,277000,277000,277000,277000,277000,277000,277000,277000,277000,277000,277000,277000,277000,277000,277000,277000,277000,277000,277000,277000,277000,277000,277000,277000,277000,277000,277000,277000,277000,277000,277000,277000,248000,248000,248000,248000,248000,248000,248000,248000,248000,248000,248000,248000,248000,248000,248000,248000,248000,248000,248000,248000,248000
Egypt,995000,995000,995000,995000,995000,995000,995000,995000,995000,995000,995000,995000,995000,995000,995000,995000,995000,995000,995000,995000,995000,995000,995000,995000,995000,995000,995000,995000,995000,995000,995000,995000,995000,995000,995000,995000,995000,995000,995000,995000,995000,995000,995000,995000,995000,995000,995000,995000,995000,995000,995000,995000,995000,995000,995000,995000,995000,995000
El Salvador,20900,20900,20900,20900,20900,20900,20900,20900,20900,20900,20900,20900,20900,20900,20900,20700,20700,20700,20700,20700,20700,20700,20700,20700,20700,20700,20700,20700,20700,20700,20700,20700,20700,20700,20700,20700,20700,20700,20700,20700,20700,20700,20700,20700,20700,20700,20700,20700,20700,20700,20700,20700,20700,20700,20700,20700,20700,20700
Equatorial Guinea,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100
Eritrea,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000
Estonia,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,43500,43500,43500,43500,43500,43500
Eswatini,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200
