country	UrbanPop	LifeExp	Smoking	AlcConsump	BMI_m	BMI_f	SBP_f.x	SBP_f.y	cholesterol_m	cholesterol_f	GovtHealthUSD_pp	TotHealthUSD_pp	LandSqkm	DemScore	CPI	WomanInParlia	Income_pp	BasicSaniAcc
Niger	0.165	62.4	NA	0.34	21.2	22	135	135	3.8	3.97	9.3	18.3	1270000	6	33	0.17	991	0.136
Nigeria	0.512	64.3	0.071	12.7	23	23.7	136	136	3.79	4.12	23.8	62.8	911000	4	27	0.045	5300	0.392
North Korea	0.621	72	NA	NA	22	21.3	122	122	4.23	4.41	NA	NA	120000	-10	17	0.176	1720	0.832
North Macedonia	0.582	76.5	NA	8.94	26.3	25.4	130	130	4.78	4.88	202	317	25200	9	35	0.383	14800	0.991
Norway	0.826	82.3	0.32	8.35	26.9	25.7	126	126	5.39	5.32	6790	8090	365000	10	85	0.414	68200	0.981
Oman	0.854	77.1	0.131	0.92	26.2	26.7	127	127	4.94	5.05	460	574	310000	-8	44	0.0988	36400	1
Pakistan	0.369	66.8	0.211	0.05	22.3	23.4	127	127	4.46	4.55	8.38	21.8	771000	6	32	0.2	5080	0.599
Palau	0.805	NA	0.24	9.86	30.4	31.9	125	125	5.12	5.17	657	850	460	NA	NA	0.138	18000	1
Palestine	0.764	76.8	NA	NA	26.6	29	127	127	4.48	4.65	NA	NA	6020	NA	NA	NA	4700	0.969
Panama	0.681	79.3	NA	7.3	26.3	27.7	123	123	4.72	4.93	463	616	74300	9	37	0.225	25100	0.833
Papua New Guinea	0.133	58.5	NA	3.64	25	25.8	120	120	4.62	4.76	35.4	49.4	453000	4	29	0	3970	0.129
Paraguay	0.619	76.1	0.24	7.91	25.5	25.9	124	124	4.62	4.78	59.3	163	397000	8	29	0.176	12700	0.898
Peru	0.781	80.3	NA	6.53	24.8	26	120	120	4.67	4.75	145	269	1280000	9	37	0.261	13700	0.743
Philippines	0.471	69.7	0.26	6.08	22.9	23.5	122	122	4.7	4.93	27.3	77.3	298000	8	34	0.281	9040	0.765
Poland	0.6	78	0.356	14.4	26.7	25.9	130	130	5.27	5.15	666	917	306000	10	60	0.279	31700	0.988
Portugal	0.658	81.4	0.358	13.9	26.7	26.2	127	127	5.18	5.16	1610	2370	91600	10	63	0.4	30300	0.996
Qatar	0.992	80.2	NA	1.29	28.1	28.9	126	126	5.17	5.25	1150	1490	11600	-10	63	0.0976	119000	1
Romania	0.541	75.2	0.326	16.1	25.4	25.2	129	129	4.89	4.9	334	428	230000	9	48	0.198	27200	0.843
Russia	0.746	72.1	0.485	16.2	26	27.2	129	129	4.93	5.09	326	525	16400000	4	29	0.161	26700	0.905
Rwanda	0.173	68.5	NA	9.99	22.6	22.1	135	135	4.09	4.29	27.8	55.5	24700	-4	55	0.557	2360	0.666
Samoa	0.181	72.9	0.41	4.51	30.4	33.7	126	126	4.48	4.69	179	204	2830	NA	NA	0.1	6540	0.982
San Marino	0.974	NA	NA	NA	NA	NA	NA	NA	NA	NA	3120	3660	60	NA	NA	0.333	58100	1
Sao Tome and Principe	0.736	66.9	0.169	8.45	23.5	24.9	136	136	3.94	4.17	34.5	90	960	NA	46	0.146	3140	0.43
Saudi Arabia	0.841	76.9	0.147	0.34	27.9	29.6	127	127	4.63	4.84	427	680	2150000	-10	49	0.199	48300	1
Senegal	0.477	68	0.107	0.51	21.9	24.3	130	130	4.08	4.24	32.5	58.5	193000	7	45	0.43	3740	0.515
Serbia	0.563	75.7	0.423	12.2	26.5	25.7	130	130	4.92	5.09	338	546	87500	8	41	0.388	18200	0.976
Seychelles	0.571	73.6	0.212	12.1	25.6	28	129	129	5.23	5.18	339	369	460	NA	60	0.212	29400	1
